,SearchedWord,Type,ID
0,bike insurance check online,2W,0
1,bike insurance,2W,0
2,online two wheeler insurance,2W,0
3,two wheeler bike insurance,2W,0
4,cheapest bike insurance,2W,0
5,online insurance bike,2W,0
6,insurance bike,2W,0
7,online bike insurance,2W,0
8,bike insurance online,2W,0
9,best bike insurance online,2W,0
10,bike insurance price list,2W,0
11,new bike insurance,2W,0
12,insurance two wheeler,2W,0
13,two wheeler insurance,2W,0
14,[bajaj allianz two wheeler insurance],2W,0
15,two wheeler insurance online,2W,0
16,two wheeler insurance quotes online,2W,0
17,[bajaj allianz bike insurance],2W,0
18,[bike insurance kaise kare online],2W,0
19,insurance of bike,2W,0
20,"""bajaj allianz 2 wheeler insurance""",2W,0
21,bike online insurance,2W,0
22,best bike insurance,2W,0
23,2w insurance,2W,0
24,buy two wheeler policy online,2W,0
25,[bajaj bike insurance],2W,0
26,zero dep insurance for bike,2W,0
27,[bajaj two wheeler insurance],2W,0
28,online insurance of bike,2W,0
29,buy two wheeler insurance,2W,0
30,bike bima,2W,0
31,buy bike insurance online,2W,0
32,bike insurance near me,2W,0
33,bike insurance compare,2W,0
34,vehicle insurance two wheeler,2W,0
35,"""bajaj insurance bike""",2W,0
36,buy bike policy online,2W,0
37,"""2 wheeler insurance bajaj""",2W,0
38,[bajaj insurance bike],2W,0
39,3 year bike insurance price,2W,0
40,best two wheeler insurance,2W,0
41,online two vehicle insurance,2W,0
42,[bike insurance kaise check kare],2W,0
43,best bike insurance policy,2W,0
44,"""bajaj allianz bike insurance""",2W,0
45,[2 wheeler insurance bajaj allianz],2W,0
46,[activa insurance],2W,0
47,bike insurance calculator,2W,0
48,insurance companies for bikes,2W,0
49,bike policy online,2W,0
50,bike policy,2W,0
51,bike insurance buy,2W,0
52,[bike ka insurance kaise check kare],2W,0
53,[hero motocorp bike insurance],2W,0
54,[1 year bike insurance price],2W,0
55,buy two wheeler insurance online,2W,0
56,online two wheeler insurance policy,2W,0
57,cheap bike insurance online,2W,0
58,[bike ka insurance kaise kare],2W,0
59,old bike insurance,2W,0
60,[bajaj allianz 2 wheeler insurance],2W,0
61,insurance policy for bike online,2W,0
62,[royal enfield insurance],2W,0
63,[bajaj allianz motorcycle insurance],2W,0
64,[honda activa insurance cost],2W,0
65,[online bike insurance kaise kare],2W,0
66,[bajaj 2 wheeler insurance],2W,0
67,online insurance for bike,2W,0
68,online policy for two wheeler,2W,0
69,[bajaj two wheeler policy],2W,0
70,[activa insurance online],2W,0
71,price for bike insurance,2W,0
72,bike insurance quote online,2W,0
73,[online bike kaise kharide],2W,0
74,bike insurance kaise kare,2W,0
75,[honda activa insurance],2W,0
76,[bajaj bike insurance online],2W,0
77,online bike insurance company,2W,0
78,zero dep bike insurance,2W,0
79,"""bajaj bike insurance""",2W,0
80,[bike insurance kaise karen],2W,0
81,[royal enfield classic 350 insurance price],2W,0
82,[bike ka insurance kaise karen],2W,0
83,apply for bike insurance online,2W,0
84,[bike insurance check kaise kare],2W,0
85,[royal enfield classic 350 insurance],2W,0
86,vehicle insurance two wheeler online,2W,0
87,"""bajaj motorcycle insurance""",2W,0
88,two wheeler insurance comparison,2W,0
89,[bike ka online insurance kaise kare],2W,0
90,[two wheeler insurance online kaise kare],2W,0
91,[bajaj motorcycle insurance],2W,0
92,bike insurance quotation,2W,0
93,two wheeler insurance lowest price,2W,0
94,new bike insurance online,2W,0
95,insurance policy two wheeler online,2W,0
96,[splendor bike insurance],2W,0
97,[bike ka insurance kaise check karen],2W,0
98,[activa scooty insurance],2W,0
99,[bike insurance bajaj allianz],2W,0
100,two wheeler insurance policy,2W,0
101,cheapest two wheeler insurance online,2W,0
102,bike insurance online calculator,2W,0
103,best two wheeler insurance in india,2W,0
104,two wheeler bima,2W,0
105,bike insurance lowest price,2W,0
106,[bike insurance kaise nikale],2W,0
107,[activa 5g insurance],2W,0
108,0 depth bike insurance,2W,0
109,"""bajaj insurance for bike""",2W,0
110,[bike insurance kaise],2W,0
111,[apni bike ka insurance kaise check kare],2W,0
112,two wheeler insurance near me,2W,0
113,buy two wheeler policy,2W,0
114,[insurance bike ka kaise kare],2W,0
115,buy online two wheeler insurance policy,2W,0
116,[splendor insurance],2W,0
117,two wheeler insurance calculator india,2W,0
118,[bike ka bima kaise check kare],2W,0
119,[honda bike insurance],2W,0
120,bike insurance 0 depreciation,2W,0
121,"""bajaj two wheeler policy""",2W,0
122,bike insurance 1 year,2W,0
123,[honda dio insurance],2W,0
124,online bike insurance price,2W,0
125,[scooty ka insurance kaise kare],2W,0
126,"""bajaj two wheeler insurance""",2W,0
127,[yamaha bike insurance],2W,0
128,[scooter insurance kaise kare],2W,0
129,new bike insurance policy,2W,0
130,two wheeler vehicle insurance policy,2W,0
131,[royal enfield bullet 350 insurance],2W,0
132,[bike insurance kaise check karen],2W,0
133,[bike insurance online bajaj],2W,0
134,two wheeler insurance for expired policy,2W,0
135,[baik insurans kaise kare],2W,0
136,bike insurance premium calculator,2W,0
137,[bike insurance kaise karte hain],2W,0
138,cheap and best bike insurance,2W,0
139,[bajaj pulsar insurance],2W,0
140,[bike ka insurance online kaise kare],2W,0
141,"""insurance bike bajaj""",2W,0
142,[bajaj allianz two wheeler insurance price],2W,0
143,[motorcycle ka insurance kaise check karen],2W,0
144,[apni bike ka insurance kaise check karen],2W,0
145,[bike ka insurance renew kaise kare],2W,0
146,[honda 2 wheeler insurance],2W,0
147,[bike ka bima kaise kare],2W,0
148,0 dep bike insurance,2W,0
149,[access 125 insurance],2W,0
150,bike insurance for 5 years,2W,0
151,[bajaj allianz two wheeler policy],2W,0
152,[hf deluxe bike insurance],2W,0
153,bike insurance 3 years,2W,0
154,[two wheeler activa insurance],2W,0
155,[hero bike insurance],2W,0
156,[honda shine insurance price],2W,0
157,policy for two wheeler,2W,0
158,buy new bike insurance online,2W,0
159,"""bike insurance bajaj allianz""",2W,0
160,"""bike insurance online bajaj allianz""",2W,0
161,[bajaj allianz two wheeler],2W,0
162,[hero splendor plus insurance],2W,0
163,[yamaha r15 insurance],2W,0
164,[hero super splendor insurance],2W,0
165,[honda bike insurance online],2W,0
166,best insurance policy for two wheeler,2W,0
167,[online bike insurance kaise karen],2W,0
168,"""bajaj allianz general insurance bike""",2W,0
